name,phone,age,company,country,salary,balance,
Alexander,+33600584103,45,Roche,France,10286.06,-2366.48,
Amanda,085937069,57,Alphabet,Armenia,16536.09,3477.84,
Amy,024580073,30,ASML Holding,Kuwait,1792.37,4450.81,
Andrew,+1061073683,27,The Home Depot,Mongolia,903.01,6573.71,
Angela,013912881,20,Broadcom,Iraq,7524.86,-1787.09,
Anna,086078291,68,Shell,Latvia,15945.67,-1370.95,
Anthony,068080263,41,Nestle,Monaco,1215.60,6978.78,
Ashley,038934774,34,Roche,Antigua and Barbuda,12687.12,-4863.50,
Barbara,044406764,67,Walmart,Seychelles,16008.46,-4179.61,
Benjamin,+2095979763,42,The Home Depot,Belarus,7300.27,8113.83,
Betty,+1004483000,21,Tencent Holdings,Albania,19997.16,2743.36,
Brandon,012611801,61,Procter & Gamble,Mali,11453.29,8415.97,
Brenda,099170974,28,Thermo Fisher Scientific,Benin,14707.84,4439.14,
Brian,043819160,44,Broadcom,Eswatini,13711.52,-5894.95,
Carol,074058749,65,Alibaba Group,Iraq,15634.61,4420.61,
Carolyn,074838737,19,Alphabet,Democratic Republic of the Congo,10043.75,-687.50,
Catherine,080722348,27,Meta Platforms,Slovakia,3587.48,5386.23,
Charles,027019217,62,Samsung Electronics,Ukraine,17728.44,3584.56,
Christine,077742928,29,ASML Holding,Paraguay,2488.20,-8093.78,
Christopher,051258271,37,Visa,Thailand,16760.53,-8959.67,
Cynthia,031125044,38,Tencent Holdings,Kyrgyzstan,13443.22,7584.52,
Daniel,084159733,33,LVMH,Egypt,16118.26,6978.73,
David,092193294,23,Reliance Industries,Timor-Leste,8135.46,5880.68,
Deborah,015681667,45,Bank of America,Marshall Islands,9472.73,3682.65,
Debra,023737623,49,Intel,Chad,11485.57,401.03,
Dennis,021274760,47,Chevron,Nicaragua,15398.37,7864.94,
Donald,090425065,33,Visa,Senegal,10670.29,-2530.50,
Donna,016831094,68,TotalEnergies,Mozambique,8969.76,6912.52,
Dorothy,076072034,21,Coca-Cola,Lithuania,8706.08,-6471.84,
Edward,016963163,63,Eli Lilly and Co.,Eritrea,6670.05,3293.30,
Elizabeth,041277390,55,Apple,Libya,3124.08,1849.13,
Emily,080366191,46,Johnson & Johnson,Brunei,9099.62,-5660.31,
Emma,035073478,36,ICBC,Malta,2490.51,6763.29,
Eric,002381126,31,Taiwan Semiconductor Manufacturing Company,United Arab Emirates,18101.91,-8010.29,
Frank,053783338,60,Kweichow Moutai,Spain,14074.90,-3922.18,
Gary,093149052,41,Bank of America,Papua New Guinea,13253.97,-1695.55,
George,034118004,22,L'Oreal,Bangladesh,2166.59,-7850.78,
Gregory,016719453,37,Pfizer,Barbados,13642.40,6210.17,
Helen,020357496,26,Taiwan Semiconductor Manufacturing Company,Lithuania,19972.49,419.54,
Jack,010798833,56,Coca-Cola,Philippines,11413.65,5863.68,
Jacob,056835393,30,Microsoft,Korea,18016.38,8950.16,
James,078417863,69,Taiwan Semiconductor Manufacturing Company,Kenya,5575.92,-3772.14,
Janet,087754462,31,Berkshire Hathaway,Barbados,14497.98,1383.62,
Jason,026582219,60,Meta Platforms,Cyprus,13156.56,996.26,
Jeffrey,015288426,24,TotalEnergies,Peru,2835.42,-684.78,
